,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
393,공고중,[개] 진도견,수컷,0.0,흰색,2021,5.7,강원-속초-2021-00086,2021-05-14~2021-05-24,삼환아파트근처,피부병심함,속초시유기동물보호소,강원도 속초시청
394,공고중,[개] 진도견,암컷,0.0,황색,2018,25.0,강원-삼척-2021-00055,2021-05-14~2021-05-24,삼척시 원덕읍 원덕119센터,건강함,삼척시유기동물보호소,강원도 삼척시청
395,공고중,[개] 진도견,암컷,0.0,흰색,2021,4.0,전북-익산-2021-00590,2021-05-14~2021-05-24,익산시주현로40길,생후70일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
396,공고중,[개] 진도견,수컷,0.0,흰색,2021,1.5,전북-익산-2021-00595,2021-05-14~2021-05-24,익산시어양동주공8차아파트,생후45일정도 순하고이쁘게생겼음,익산유기동물보호소,전라북도 익산시청
397,완료(귀가),[개] 진도견,암컷,0.0,흰색,2019,8.4,전남-여수-2021-00262,2021-05-14~2021-05-24,봉계동 아주타운 105동,발견당시 빨간색 하네스 및 리드줄 착용.,유기동물보호소,전라남도 여수시청
398,공고중,[개] 진도견,수컷,0.0,흰색,2018,15.0,경기-여주-2021-00268,2021-05-15 ~2021-05-25,연양동 강변유원지길,"겁이다소 있으며, 온순함",위더스 동물보호센터,경기도 여주시청
399,완료(귀가),[개] 진도견,수컷,0.0,흰색,2020,15.0,충북-청주-2021-00451,2021-05-15~2021-05-25,정주 동남 1단지,활발+순둥+겁약간,반려동물보호센터,충청북도 청주시청
400,공고중,[개] 진도견,수컷,,흰색,2020,18.0,충북-청주-2021-00458,2021-05-16~2021-05-26,정하동 일대,"겁이 많음, 빨간색 목줄 착용",반려동물보호센터,충청북도 청주시청
401,공고중,[개] 진도견,수컷,0.0,흰색,2018,17.0,전남-장성-2021-00169,2021-05-16~2021-05-26,북하파출소,초록색목줄착용.성격너무 좋음. 사람을 만나면 일단 배부터 까,장성군동물보호센터,전라남도 장성군청
402,완료(귀가),[개] 진도견,수컷,0.0,흰,2016,15.0,서울-양천-2021-00064,2021-05-17~2021-05-27,목동양천소방서119구조대 (다음5-11),치석있으며온순하고잘따르며경계심없이조용함,강현림동물병원,서울특별시 양천구정
